customer_code,customer_name,Sales person,sales_person,Customer Map,Active?,market_group,region,sub_region,company_group,door_type,sheet_name,workbook_name,workbook_type,Region,Country,2025 Cluster,channel,2026 Cluster,budget_version
35947,Semeli Hotel; Mykonos,,,Inactive,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
35948,Mme Aurelly D; Frankreich,,,Inactive,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
35950,Amilla Hotel; Maldives,,,Inactive,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
35953,Park Hyatt Hotel; Canada,,,Inactive,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
35954,Galeries Lafayette Management,,,Inactive,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
35956,Munique; Thailand,,,Inactive,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
35957,Water Oasis Group Ltd.; Judy Kan; Interessent,,,Inactive,No,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
10057,Olympia Industries Ltd; Indien,,,Distributor - India,Yes,Export,Export,,Company 1,,Budget,2025.09.24 Export Sales Budget 2026 vSU.xlsx,export_budget,,,,,,2025.09.24
-200002,Distributor - South Africa,,,,,Export,Distributor - South Africa,Distributor - South Africa,Company 1,,Co. 1_2 Export Sales,22025.11.06 QMS Detailed Budget v1.xlsx,export_budget,,,,,,2025.11.06
-200003,Distributor - Austria,,,,,Export,Distributor - Austria,Distributor - Austria,Company 1,,Co. 1_2 Export Sales,22025.11.06 QMS Detailed Budget v1.xlsx,export_budget,,,,,,2025.11.06
-200004,Distributor - Russia,,,,,Export,Distributor - Russia,Distributor - Russia,Company 1,,Co. 1_2 Export Sales,22025.11.06 QMS Detailed Budget v1.xlsx,export_budget,,,,,,2025.11.06
-200005,Distributor - Other EU,,,,,Export,Distributor - Other EU,Distributor - Other EU,Company 1,,Co. 1_2 Export Sales,22025.11.06 QMS Detailed Budget v1.xlsx,export_budget,,,,,,2025.11.06
-200006,Distributor - Other ROW,,,,,Export,Distributor - Other ROW,Distributor - Other ROW,Company 1,,Co. 1_2 Export Sales,22025.11.06 QMS Detailed Budget v1.xlsx,export_budget,,,,,,2025.11.06
-200007,Distributor - New,,,,,Export,Distributor - New,Distributor - New,Company 1,,Co. 1_2 Export Sales,22025.11.06 QMS Detailed Budget v1.xlsx,export_budget,,,,,,2025.11.06
-200008,Export - Direct business,,,,,Export,Export - Direct business,Export - Direct business,Company 1,,Co. 1_2 Export Sales,22025.11.06 QMS Detailed Budget v1.xlsx,export_budget,,,,,,2025.11.06
-200011,Distributor - China,,,,,Export,Distributor - China,Distributor - China,Company 1,,Co. 1_2 Export Sales,22025.11.06 QMS Detailed Budget v1.xlsx,export_budget,,,,,,2025.11.06
-200012,Distributor - Middle East,,,,,Export,Distributor - Middle East,Distributor - Middle East,Company 1,,Co. 1_2 Export Sales,22025.11.06 QMS Detailed Budget v1.xlsx,export_budget,,,,,,2025.11.06
-200013,Distributor - APAC,,,,,Export,Distributor - APAC,Distributor - APAC,Company 1,,Co. 1_2 Export Sales,22025.11.06 QMS Detailed Budget v1.xlsx,export_budget,,,,,,2025.11.06
